correct,options,question,rationale,spatial representations,counting and operation,logical problem solving
B,"['A)22,096 pounds of water', 'B)12,096 pounds of water', 'C)52,096 pounds of water', 'D)42,096 pounds of water', 'E)35,096 pounds of water']","A cube shaped pool is half full of water. If the water is 36 inches deep, how much would the
water in the pool weigh if the pool were filled to the brim? (1 cubic foot weighs 56 pounds)","36 ÷ 3 = 3 ft.
2 x 3 = 6 ft. to brim, so cube is 6 ft. on a side
6 x 6 x 6 = 216 cu. ft. volume
216 x 56 = 12,096 pounds of water
correct answer B",0,1,0
D,"['A)8', 'B)6', 'C)1', 'D)2', 'E)9']","A car after covering 1/2 of a journey of 100 km develops engine trouble and later travels at 1/2 of its original speed. As a result, it arrives 2 hours late than its normal time. What is the normal speed of the car is?","[50/x + 50/(x/2)] – 100/x = 2
x = 25
Answer:D",0,1,0
E,"['A)I only', 'B)II only', 'C)III only', 'D)I & III', 'E)II & III']","A sphere is surrounded by the smallest cylinder that will just contain it. Which of following is a complete set of the points where the cylinder touches the sphere?
I. One point,
II. Two points,
III. A Circle","Explanations
(1) Let’s use the familiar reference points of Earth’s geography to talk about the sphere. The cylinder fits the sphere tightly, so it touches the sphere around its “equator.” The top of the cylinder touches the “north pole” of the sphere, and the bottom of the cylinder symmetrically touches the “south pole” of the sphere. That’s a circle (the equator) and two points (the north & south poles). Answer E.",1,0,0
A,"['A)10%', 'B)20%', 'C)25%', 'D)30%', 'E)40%']","At an elite baseball camp, 60% of players can bat both right-handed and left-handed. If 1/3 of the players who bat left-handed do not bat right-handed, what is the probability that a player selected at random does not bat left-handed?","2/3 of players who bat left-handed also bat right-handed.
Then 3/2(60%) = 90% of all players can bat left-handed.
P(a player does not bat left-handed) = 1 - 90% = 10%
The answer is A.",0,0,1
A,"['A)1/2', 'B)1/3', 'C)1/4', 'D)3/2', 'E)5/2']",One person has 2 children. At least one of them was a girl. Then the probability that 2 of the are girl is_____,"total possibilities are 2 (G,B) (G,G)
probability that of both are girls = 1/2
ANSWER:A",0,0,1
D,"['A)0.12 million', 'B)1.2 million', 'C)11.3 million', 'D)12.1 million', 'E)121 million']","During a particular year in city X, there were an average (arithmetic mean) of 16,000 car accidents per day on weekends and an average of 40,000 per day on each of the other days of the week. Which of the following is nearest to the total number of accidents last year?","=52*(40,000*5+16,000*2)
=12.1 million
ANSWER:D",0,1,0
A,"['A)on the 17th day', 'B)on the 27th day', 'C)on the 30th day', 'D)on the 40th day', 'E)on the 44th day']","A man earns RS. 20 on the first day and spends Rs. 15 on the next day. He again earns Rs. 20 on the third day and spends Rs. 15 on the fourth day. If he continues to save like this, how soon will he have Rs. 60 in hand?","For every 2 days, he saves rs.5.
After 16 days, the savings become rs.40.
on the 17th day, he earns rs.20
so 40+20=rs.60.
ANSWER:A",0,0,1
B,"['A)3', 'B)4', 'C)5', 'D)6', 'E)7']","Money is paid into an account in portions of $500 and paid out in portions of $300. If after a month the account grew by $1,200, what is the least possible number of transactions that could have been made?","The least number of transactions is 4: $500+$500+$500−$300=$1,200
Answer: B",0,1,0
A,"['A)14', 'B)9', 'C)16', 'D)23', 'E)24']","If (x # y) represents the remainder that results when the positive integer x is divided by the positive integer y, what is the sum of all the possible values of y such that (16 # y) = 3?","16 = ky+3
since -- > 0 <=remainder < divisor
therefore y>1
ky=13 => y =13/k :- possible values of k for y to be +int y=1,13
hence, sum = 14",0,1,0
B,"['A)25', 'B)50', 'C)75', 'D)100', 'E)125']","An investor purchased shares of stock at a certain price. If the stock increased in price Rs 0.25 per share and the total increase for the x shares was Rs 12.50, how many shares of stock had been purchased?","Increase in 1 share = Rs. 0.25
increase in x shares =Rs.12.50
so x=12.50/0.25 =50
ANSWER:B",0,1,0
A,"['A)4^5', 'B)5^4', 'C)5!', 'D)4!', 'E)4!*5!']",In how many ways can 5 different candies be distributed among 4 children? (Children could get 0 candies or more than one candy),"There are in total 5 candies. Let's say A,B,C,D and E.
Candy A can be distributed among any 4 children. So, there are 4 ways of distributing candy A.
similarly candy B,C,D and E can be distributed in 4 ways.
So total ways of distribution is
4*4*4*4*4 = 4^5.
ANS:A",0,0,1
B,"['A)11 days', 'B)13 days', 'C)20 3⁄17 days', 'D)12 days', 'E)None of these']","A is 30% more efficient than B. How much time will they, working together, take to complete a job which A along could have done in 23 days?","Ratio of times taken by A and B = 100 : 130 = 10 : 13.
Suppose B takes x days to do the work.
Then, 10 : 13 : : 23 : x ⇒ x = (23×13)/10 ⇒ x = 299⁄10
A’s 1 day’s work = 1⁄23; B’s 1 days work = 10⁄299
(A + B)’s 1 day’s work = (1⁄23 + 10⁄299) = 23⁄299 = 1⁄13
∴ A and B together can complete the job in 13 days.
Answer B",0,0,1
C,"['A)14%', 'B)4%', 'C)15%', 'D)20%', 'E)10%']","The marked price of a clock is Rs.6400. It is to be sold at Rs.4896 at two successive discounts. If the first discount is 10%, the second discount is","6400/10=640 discount 1st then we get 5760
5760-4896=864 in 2nd discount so 864*15=5760
ans 15%
ANSWER:C",0,1,0
A,"['A)16:15', 'B)16:5', 'C)14:15', 'D)12:13', 'E)2:3']",A dog takes 4 leaps for every 5 leaps of a hare but 3 leaps of a dog are equal to 4 leaps of the hare. Compare their speeds.,"3x=4y;x=4/3(y)
4x:5y=4(4/3(y)):5y=16:15
ANSWER:A",0,0,1
D,"['A)t/20', 'B)5t/2', 'C)250t', 'D)t/25', 'E)250/t']","A shrewd opportunist bought 50 equally priced Kale Kids in November for t dollars total. In December, he sold each Kale Kid for a profit of 100 percent. In terms of t, how much was each Kale Kid sold for?","Price of 1 kid = t/50
So, SP at a profit of 150 percent = t/50 + 100/100(t/50) = t/50 + t/50 = 2t/50 = t/25
Answer - D",0,0,0
A,"['A)5', 'B)10', 'C)15', 'D)20', 'E)25']",If a cellphone is purchased for Rs.490 and sold for Rs.465.50 find the loss percentage?,loss = C.P-S.P =490-465.50 =24.50 loss % = (loss*100)/C.P =(24.50*100)/490 =5% Answer :A,0,1,0
C,"['A)1500', 'B)1200', 'C)10000', 'D)2000', 'E)1000']",An agent gets a 5% commission on sales of cloths. In a certain day he got $500 as commission. The cloths sold through him on that day is worth?,"Let the total sale be $ X.
then, 5% of X = 500
X/20=500
X=500*20=10000
correct option is C",0,0,0
B,"['A)24 years', 'B)30 years', 'C)18 years', 'D)33 years', 'E)None']","If the ratio of the ages of Maya and Chhaya is 6:5 at present, and fifteen years from now, the ratio will get changed to 9:8, then find Maya's present age.","Let Maya's and Chhaya's present age is 6x and 5x respectively.
And,
(6x+15)/(5x+15) = 9/8;
Or, 48x+120 = 45x = 135;
Or, 3x = 15;
Or, x = 5;
Present age of Maya = 6x = 30.
Answer: Option B",0,1,0
E,"['A)5', 'B)4', 'C)3', 'D)2', 'E)1']",Scott bought three bags of candy with 75 pieces in each one. He plans to divide all the candy evenly among seven friends. How many pieces of candy will Scott have left for himself?,"3 x 75 = 225 pieces of candy
225 ÷ 7 = 32 R 1
Scott will have one piece left
correct answer E",0,0,1
A,"['A)1000 miles.', 'B)2000 miles.', 'C)3000 miles.', 'D)4000 miles.', 'E)5000 miles.']","Two trains under a controlled experiment begin at a speed of 100 mph in the opposite direction in a tunnel. A supersonic bee is left in the tunnel which can fly at a speed of 1000 mph. The tunnel is 200 miles long. When the trains start running on a constant speed of 100 mph, the supersonic bee starts flying from one train towards the other. As soon as the bee reaches the second train, it starts flying back towards the first train.
If the bee keeps flying to and fro in the tunnel till the trains collide, how much distance will it have covered in total?","Solution:
A typical way will be to start thinking about summing up the distance that the bee will travel but that will be quite a tedious task. How about we offer you a much easy solution?
The tunnel is 200 miles long and the trains are running at as peed of 100 mph which means that they will collide exactly at the center of the tunnel and seeking their speed, they will collide after an hour.
Now consider the bee which is flying at a speed of 1000 mph and will keep flying till the train collides. As calculated, it will keep flying for an hour which means the distance that it will cover is 1000 miles.
Answer A",0,0,1
B,"['A)120', 'B)240', 'C)125', 'D)250', 'E)350']","6 pigs cost the same as 9 sheep. 27 sheep cost the same as 30 goats. 50 goats cost the same as 3 elephants. If two elephants cost $4800, then the cost of one pig in dollar is","9 sheep=6 pigs
27 sheeps=18 pigs=30 goats
So 50 goats=50*18/30=30 pigs=3 elephants
So 2 elephants=20 pigs, cost=4800,cost of one pig=4800/20=240 $
ANSWER:B",0,1,0
A,"['A)31', 'B)32', 'C)33', 'D)34', 'E)35']","A certain prosthodontist specializes in implanting gold and silver teeth in his patients’ mouths. He charges $650 for a gold tooth and $325 for a silver tooth. If his total fees for implanting gold and silver teeth last week were $15,925 in total, and he implanted five more gold teeth than silver teeth, how many teeth in total did he implant over the week?","Let g be number of gold teeth and s be the silver teeth. Writing the given in equation form:
650*g+325*s=15,625g=s+5
simplifying the equations : 2g+s=49 and g−s=5
solving for g and s gives, g=18 and s=13. So, total is 31
Answer is A",0,1,0
B,"['A)85,000$.', 'B)88,000$.', 'C)94,000$.', 'D)124,000$.', 'E)139,000$']","David bought 13 BMW cars for a total price of 1,105,000 dollars. If he wants to make a profit of 39,000 dollars in the deal, at what price should he sell one car?","Profit = Total selling - Total cost
Total selling = Profit + Total cost
Ignoring zeros---------Total selling = 39 + 1,105.......... unit digit = 4..So we should search for answer that when unit price is multiplied by 13 cars will give unit digit 4.
85 * 13= 5
88 * 13 = 4
94 * 13 = 2
124 * 13 =2
139 * 13 =7
Answer is B",0,1,0
C,"['A).084%', 'B)4.67%', 'C)7.2%', 'D)15.6%', 'E)24%']",30% of all Huhulians own at least one TV. 24% of Huhulians who own at least one TV own at least four TV's. What percent of Huhulians own at least four TV's?,"The question asks 24% of 30 is what %
Hence, 30 * 24/100 = 7.2
Answer is C",0,1,0
D,"['A)Rs. 480', 'B)Rs. 500', 'C)Rs. 600', 'D)Rs. 1000', 'E)None']","If a man reduces the selling price of a fan from Rs.400 to Rs.380, his loss increases by 2%. The cost price of the fan is","Let C.P be Rs.x
Then, 2% of x	=(400 - 380)
=20
x/50 = 20
x=1000.
Answer D",0,1,0
D,"['A)12,000', 'B)14,500', 'C)15,230', 'D)17,818', 'E)20,000']","A small business invests $9,800 in equipment to produce a product. Each unit of the product costs $0.65 to produce and is sold for $1.20. How many units of the product must be sold before the revenue received equals the total expense of production, including the initial investment in equipment?","The company makes $0.55 ($1.20 less the $0.65) on each product. so how many of these products will need to be made to cover the initial $9,800 equipment cost. 9,800/0.55 will give us the answer. 9,800/0.55 is 17818 ==> the correct answer is D.",0,1,0
A,"['A)7', 'B)12', 'C)14', 'D)22', 'E)26']",The function P~ can be expressed as 2-P for all values of P. What is the value of (7~)~?,"(7~)~
=(2-7)~
= (-5)~
=2-(-5)
=7
Correct Option: A",0,1,0
D,"['A)212', 'B)137', 'C)107', 'D)109', 'E)281']",A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equal length into 12 pieces. He cut at the rate of 40 cuts a minute. How many rolls would be cut in 30 minutes ?,"Number of cuts made to cut a roll into 12 pieces = 11.
Therefore, required number of rolls = (40 x 30)/11 = 109.
Answer: D) 109 rolls",0,0,1
D,"['A)6', 'B)12', 'C)24', 'D)36', 'E)72']",3 men and 3 women need to be seated in 2 rows with 3 chairs in each row. All men have to be seated in the back row. How many ways can this be done?,"For one particular arrangement of men, say {m1, m2, m3} women in the front row can be arranged in 3!=6 ways, as total # of arrangements of men is 3!=6 then total # of arrangements of men and women is 3!*3!=36.
ANS:D",0,0,1
A,"['A)1/25', 'B)1/28', 'C)1/22', 'D)1/21', 'E)1/26']","If a number is chosen at random from the set {1, 2, 3, ...., 100}, then the probability that the chosen number is a perfect cube is?","We have 1, 8, 27 and 64 as perfect cubes from 1 to 100.
Thus, the probability of picking a perfect cube is
4/100 = 1/25.
Answer:A",0,0,1
B,"['A)40 km', 'B)50 km', 'C)60 km', 'D)70 km', 'E)None of these']",A train running between two stations A and B arrives at its destination 10 minutes late when its speed is 50 km/h and 50 minutes late when its speed is 30 km/h. What is the distance between the stations A and B ?,"Let the distance between the two stations be x km.
Then, x⁄50 - 10⁄60 = x⁄30 - 50⁄60
⇒ x⁄50 - 1⁄6 = x⁄30 - 5⁄6
or x⁄30 - x⁄50 = 2⁄3 or x = 50 km
Answer B",0,1,0
A,"['A)50', 'B)100', 'C)125', 'D)250', 'E)none of these']","The H.C.F and L.C.M. of two numbers are 50 and 100 respectively. If the first number is divided by 2, the quotient is 50, the second number is:","First number =(50*2)=100.
second number=(50*100/100)=50.
Correct Option:A",0,1,0
D,"['A)1', 'B)3', 'C)9', 'D)10', 'E)12']","Bert and Ernie are among 12 tenants on Sesame Street, from which 9 tenants are to be selected for the neighborhood watch. Of the different possible selections, how many contain neither Bert nor Ernie?","Removing Bert and Ernie the list will have 10 people
Question now becomes choose 9 out of 10
10! / 1!*9!
= 10
there are 10 ways to do so.
ANS: D",0,0,1
B,"['A)1249', 'B)1246', 'C)1202', 'D)1000', 'E)None of these']","There are N numbers of gold biscuits in the house, in which four people are lived. If the first men woke up and divided the biscuits into 5 equal piles and found one extra biscuit. He took one of those piles along with the extra biscuit and hid them. He then gathered the 4 remaining piles into a big pile, woke up the second person and went to sleep. Each of the other 3 persons did the same one by one i.e. divided the big pile into 5 equal piles and found one extra biscuit. Each hid one of the piles along with the extra biscuit and gathered the remaining 4 piles into a big pile. If N>1000, what could be the least value of N?","Explanation :
Let, each equal part is x and N be the total number of biscuits.
Thus, N=5x+1.
A took (x+1) biscuit.
Now 4x is of the form 5y+1 then x must be in the form 5z+4
⇒4(5z+4)=5y+1
⇒y=4z+3 and x=5z+4
The ratio of number of biscuits that A and B took is
[(5z+4)+1]:[(4z+3)+1]=5:4.
So, we can say that any two successive persons A, B, C and D take coins in the ratio of 5:4
Let the number of biscuits that A, B, C and D took be a, b, c and d respectively.
=>a:b=b:c=c:d=5:4.
=>a:b:c:d=125:100:80:64.
=>a=125k.
=>x=125k−1 and N=5x+1=625k−4.
As, N>1000, the least value of N is when k=2.
=>N= 1246.
Answer : B",0,0,1
B,"['A)94', 'B)95', 'C)96', 'D)97', 'E)98']","The average age of the first seven people to arrive at Nikhil’s birthday is 21. When Vijay (29) arrived, the mean age is increased to 22. Marry (also 29) arrived next. The tenth and last person to arrive at Nikhil's party is Nikhil himself, and the mean age increased to 30 years. How old is Nikhil on his birthday?","Avg age of 1st 7 people tot/7=21
tot=147
Total after Vijay's arrival 147+29 = 176/8= 22
After Marry's arrival 176+29= 205
After Nikhils'  arrival the mean increased to 30
Let Nikhil's age be x
205+x/10=30
205+x=300
x=95
ANSWER:B",0,0,1
